Cosecha,KPI,Mes,Value
2021-12,Par8,M019,0.4066510864640597
2022-01,Par8,M019,0.47016415794298116
2021-08,Par8,M020,0.48562216323988927
2021-09,Par8,M020,0.5763369731989666
2021-10,Par8,M020,0.47542431204486074
2021-11,Par8,M020,0.6699560739938257
2021-12,Par8,M020,0.42940329889265755
2021-08,Par8,M021,0.40342838650004903
2021-09,Par8,M021,0.5420040528233826
2021-10,Par8,M021,0.48558722724493886
2021-11,Par8,M021,0.7043627619329506
2021-08,Par8,M022,0.38760251675933494
2021-09,Par8,M022,0.6712501425329667
2021-10,Par8,M022,0.5747640984005332
2021-08,Par8,M023,0.42816217720121424
